Id,avg_distance,ActiveLevel,CalorieIntake
1503960366,4.850101333,Active,2200
1644430081,3.287052605,Active,2200
2022484408,5.023283415,Active,2200
2347167796,3.949503131,Active,2200
2873212765,3.166386366,Active,2200
3977333714,4.660489607,Active,2200
4388161847,4.981791885,Active,2200
4558609924,3.156163803,Active,2200
4702921684,4.317125385,Active,2200
5553957443,3.503129327,Active,2200
5577150313,3.852293066,Active,2200
6117666160,3.141252331,Active,2200
6962181067,4.08741854,Active,2200
7007744171,4.980288543,Active,2200
7086361926,3.960137684,Active,2200
8053475328,7.128728918,Active,2200
8378563200,4.29487626,Active,2200
8877689391,8.17964767,Active,2200
1624580081,2.427556182,Moderate,2000
2026352035,2.14593482,Moderate,2000
2320127002,1.978966404,Moderate,2000
3372868164,2.915783394,Moderate,2000
4057192912,1.742945653,Moderate,2000
4319703577,2.826636699,Moderate,2000
4445114986,2.015446907,Moderate,2000
6290855005,2.648540334,Moderate,2000
8253242879,2.898532178,Moderate,2000
8583815059,2.756481929,Moderate,2000
1844505072,1.059337323,Sedantary,1800
1927972279,0.3940694757,Sedantary,1800
4020332650,0.9819666093,Sedantary,1800
6775888955,1.121574656,Sedantary,1800
8792009665,0.7372888287,Sedantary,1800